Claim_ID,Bind_Date1,Customer_Life_Value1,Age_Insured,Policy_Num,Policy_State,Policy_Start_Date,Policy_Expiry_Date,Policy_BI,Policy_Ded,Policy_Premium,Umbrella_Limit,Insured_Zip,Gender,Education,Occupation,Hobbies,Insured_Relationship,Capital_Gains,Capital_Loss,Garage_Location,Accident_Date,Accident_Type,Collision_Type,Accident_Severity,authorities_contacted,Acccident_State,Acccident_City,Accident_Location,Accident_Hour,Num_of_Vehicles_Involved,Property_Damage,Bodily_Injuries,Witnesses,Police_Report,DL_Expiry_Date,Claims_Date,Auto_Make,Auto_Model,Auto_Year,Vehicle_Color,Vehicle_Cost,Annual_Mileage,DiffIN_Mileage,Low_Mileage_Discount,Commute_Discount,Total_Claim,Injury_Claim,Property_Claim,Vehicle_Claim,Vehicle_Registration,Check_Point,Wait_Policy_BI,Indemnity_Policy_BI,Policy_Duration,Claim_Duration,License_Validity,Claim_Intensity
CC00000011,2023-01-01,12,31,192210025,1,2023-09-06,2024-03-06,250/500,2000,1153.35,0,430714,0,6,craft-repair,golf,not-in-family,0,0,No,2024-02-02,3,3,3,3,NY,Hillsdale,3590 Best Hwy,9,1,0,2,1,1,2025-06-15,2024-02-03,11,19,5,2,4598,14451,6575,0,0,12803.44,5508.67,1283.14,6011.63,FU35B0844,No,250,500,182,1,499,0.45438738164310183
CC00000012,2022-02-01,23,36,144155768,0,2023-09-13,2024-03-13,250/500,2000,870.63,0,431725,0,4,adm-clerical,kayaking,own-child,94800,-58500,No,2024-01-06,0,2,1,3,VA,Hillsdale,2299 1st St,12,3,0,1,1,0,2025-11-15,2024-01-09,5,13,5,5,4682,17562,6700,0,0,24994.22,12563.2,1214.68,11216.34,IJ61A4420,No,250,500,182,3,679,1.0268204870433715
CC00000013,2023-01-01,12,49,138623476,2,2023-11-16,2024-05-16,500/1000,1000,1279.08,0,449718,0,4,other-service,kayaking,own-child,0,-51500,No,2024-02-27,1,3,1,4,NC,Riverwood,7721 Washington Ridge,13,1,0,0,1,2,2026-01-30,2024-02-28,5,14,1,5,1970,15297,6977,0,0,12297.56,7355.63,3824.77,1117.16,ZX21N0744,No,500,1000,182,1,703,0.9972167089650984
CC00000014,2022-07-01,18,40,134976201,0,2023-09-26,2024-03-26,500/1000,2000,1267.81,5000000,603123,0,5,exec-managerial,video-games,wife,0,0,No,2024-01-03,3,3,3,4,NC,Northbrook,7098 Lincoln Hwy,10,1,1,2,1,2,2026-02-15,2024-01-08,0,33,0,3,998,10532,3472,0,0,20977.45,11661.36,9237.77,78.32,EI47L4973,No,500,1000,182,5,774,2.04999938472032
CC00000015,2022-03-01,22,49,162583722,1,2023-10-09,2024-04-09,500/1000,2000,1222.48,0,620757,0,3,priv-house-serv,golf,unmarried,0,0,No,2024-01-18,1,3,1,4,WV,Arlington,6676 Tree Lane,16,1,0,1,1,1,2026-03-25,2024-01-18,11,21,4,2,4225,6800,7571,1,0,23658.94,8099.62,9684.79,5874.53,AQ42A5924,No,500,1000,183,0,797,0.7329077443027322
CC00000016,2022-08-01,17,51,180369012,0,2023-11-12,2024-05-12,250/500,2000,1124.38,0,618316,0,0,armed-forces,reading,other-relative,0,0,No,2024-02-24,3,3,1,4,VA,Northbrook,4574 Britain Hwy,9,1,2,1,1,1,2025-06-25,2024-02-29,5,14,4,2,4291,9899,2443,0,0,5928.74,492.14,5170.23,266.37,LE64D0368,No,250,500,182,5,487,0.042873221964359144
CC00000017,2022-10-01,15,33,156163529,0,2023-10-07,2024-04-07,100/300,1000,1334.15,6000000,479224,0,2,craft-repair,reading,not-in-family,53300,-49200,No,2024-01-24,2,0,0,2,WV,Springfield,3104 Sky Drive,15,1,2,2,0,1,2026-02-07,2024-01-26,8,7,7,4,7556,13583,2664,0,0,18925.55,11074.54,2082.68,5768.33,TH14R9075,No,100,300,183,2,745,0.6218458611701633
CC00000018,2022-07-01,18,43,194487391,0,2023-09-13,2024-03-13,100/300,2000,1512.58,0,452496,0,1,sales,paintball,other-relative,47600,0,No,2024-01-13,3,3,1,3,SC,Arlington,8718 Apache Lane,7,1,1,1,1,2,2026-02-05,2024-01-14,2,0,8,5,8693,12560,6193,0,0,751.03,106.53,259.31,385.19,AW27Z6632,No,100,300,182,1,754,0.0051100215999504974
CC00000019,2022-04-01,21,32,120145403,1,2023-08-26,2024-02-26,500/1000,500,1612.43,0,456762,0,4,other-service,yachting,own-child,36400,0,No,2024-01-08,2,2,2,1,VA,Springfield,2087 Apache Ave,2,1,1,2,1,1,2025-06-11,2024-01-11,2,0,9,5,9557,12635,6651,0,0,18731.68,1761.51,4555.89,12414.28,QI43Y4043,No,500,1000,184,3,520,0.07090092160612317
CC00000020,2022-04-01,21,46,128674861,1,2023-10-22,2024-04-22,500/1000,500,1348.83,0,474360,0,2,prof-specialty,basketball,wife,46300,-77500,No,2024-02-01,0,1,1,1,NC,Springfield,9358 Texas Ridge,21,3,1,1,2,1,2025-12-16,2024-02-05,12,9,6,0,6081,17262,6985,0,0,11131.62,7445.19,573.41,3113.02,RW47Z8736,No,500,1000,183,4,684,0.5059688529581263
CC00000021,2022-06-01,19,29,121138447,1,2023-09-25,2024-03-25,250/500,1000,1447.78,0,467947,0,1,protective-serv,board-games,wife,35100,-59900,No,2024-01-10,0,1,2,2,SC,Arlington,8689 Maple Hwy,15,3,2,1,0,2,2025-03-27,2024-01-14,4,27,4,4,3966,16345,3719,0,0,24606.61,403.77,20294.42,3908.42,WH22R3728,No,250,500,182,4,442,0.037822470352398975
CC00000022,2022-11-01,14,55,145647240,2,2023-09-11,2024-03-11,100/300,2000,1268.79,0,453148,0,4,priv-house-serv,chess,own-child,0,-31000,No,2024-01-19,2,0,2,0,WV,Northbend,5667 4th Drive,15,1,1,2,2,2,2026-01-02,2024-01-20,4,30,5,5,6539,17253,4723,0,0,4199.75,103.2,454.13,3642.42,TQ92F7789,No,100,300,182,1,714,0.0065734451923083045
CC00000023,2023-01-01,12,43,194487391,0,2023-09-13,2024-03-13,100/300,2000,1512.58,0,452496,0,1,sales,paintball,other-relative,47600,0,No,2024-01-13,3,3,1,3,SC,Arlington,8718 Apache Lane,7,1,1,1,1,2,2026-02-05,2024-01-14,2,0,8,5,8372,15670,5285,0,0,11649.25,1626.89,6586.7,3435.66,MG68W3195,No,100,300,182,1,754,0.08153606899410165
CC00000024,2022-03-01,22,26,172711092,1,2023-08-20,2024-02-20,100/300,500,1451.62,0,456446,0,0,tech-support,kayaking,not-in-family,0,-55700,No,2024-01-03,2,1,1,0,WV,Columbus,4862 Lincoln Hwy,19,1,0,2,2,2,2025-09-22,2024-01-06,2,22,4,0,4050,6985,5853,1,0,23377.85,2771.47,7128.96,13477.42,SU50C8661,No,100,300,184,3,628,0.25663113701371276
CC00000025,2022-10-01,15,45,185742341,1,2023-10-02,2024-04-02,500/1000,1000,1362.29,0,442598,0,2,farming-fishing,yachting,unmarried,0,-51100,No,2024-02-27,0,0,1,0,NY,Northbend,4905 Francis Ave,18,3,0,0,0,0,2025-07-02,2024-03-01,10,3,6,1,5918,13675,5513,0,0,20371.75,893.48,3496.54,15981.73,PQ98F1785,No,500,1000,183,3,491,0.061608773120183584
CC00000026,2023-01-01,12,34,137786293,0,2023-09-08,2024-03-08,100/300,1000,936.61,0,464652,0,4,armed-forces,bungie-jumping,wife,52800,-32800,No,2024-01-08,1,3,1,4,SC,Springfield,6582 Elm Lane,5,1,0,1,1,0,2025-08-04,2024-01-13,12,18,4,5,4161,5838,2448,1,0,11582.59,7430.85,3465.8,685.94,WV46I6203,No,100,300,182,5,574,0.6777282739058859
CC00000027,2022-06-01,19,37,191579764,1,2023-10-11,2024-04-11,100/300,2000,1337.28,8000000,610393,0,3,craft-repair,reading,husband,27500,0,No,2024-02-28,0,2,0,3,WV,Riverwood,9038 2nd Lane,10,3,0,2,2,2,2025-06-10,2024-03-03,5,14,0,0,1439,7524,6911,0,0,1842.83,1475.85,142.52,224.46,HS74U0306,No,100,300,183,4,468,0.23030181030003136
CC00000028,2022-08-01,17,34,197245530,2,2023-09-17,2024-03-17,250/500,1000,1333.35,0,441716,0,6,prof-specialty,board-games,husband,0,-77000,No,2024-01-13,0,0,1,3,NY,Springfield,5846 Weaver Drive,0,3,1,0,0,2,2025-07-05,2024-01-15,9,29,6,5,5713,10592,2102,0,0,21749.96,10965.82,8734.97,2049.17,AV27I5505,No,250,500,182,2,539,0.7738342897628637
CC00000029,2022-06-01,19,31,112946220,0,2023-10-07,2024-04-07,250/500,2000,1340.43,0,441175,0,2,exec-managerial,paintball,husband,52700,-40600,No,2024-02-19,0,2,1,0,NC,Arlington,3087 Oak Hwy,6,3,0,1,2,0,2026-02-14,2024-02-23,0,23,0,1,1041,6619,3506,1,0,20926.93,6947.57,4524.9,9454.46,JI51L6088,No,250,500,183,4,726,1.217596657535879
CC00000030,2022-01-01,24,46,128674861,1,2023-10-22,2024-04-22,500/1000,500,1348.83,0,474360,0,2,prof-specialty,basketball,wife,46300,-77500,No,2024-02-01,0,1,1,1,NC,Springfield,9358 Texas Ridge,21,3,1,1,2,1,2025-12-16,2024-02-05,12,9,6,5,6476,17669,3144,0,0,10228.71,5113.9,804.49,4310.32,ES05F5687,No,500,1000,183,4,684,0.33359491756834947
CC00000031,2022-08-01,17,58,138421802,2,2023-09-11,2024-03-11,100/300,2000,1131.4,0,458733,0,4,transport-moving,movies,other-relative,55700,0,No,2024-01-29,0,2,0,2,WV,Hillsdale,9573 Weaver Ave,12,4,2,0,0,0,2025-05-15,2024-01-31,0,23,6,3,5867,13860,6559,0,0,20122.71,14914.23,4088.52,1119.96,FC37B3173,No,100,300,182,2,472,1.035334388968451
CC00000032,2022-08-01,17,28,150613787,1,2023-09-24,2024-03-24,100/300,1000,988.45,0,430141,0,5,protective-serv,camping,unmarried,0,0,No,2024-01-09,2,1,2,3,NY,Northbrook,4981 Weaver St,3,1,1,1,1,1,2025-08-22,2024-01-09,11,15,1,5,1667,16412,7098,0,0,1631.84,716.11,32.91,882.82,DA50Z2731,No,100,300,182,0,591,0.10760238311683434
CC00000033,2022-01-01,24,28,126661316,2,2023-10-02,2024-04-02,500/1000,2000,1207.36,0,432896,0,2,handlers-cleaners,camping,own-child,0,-57000,No,2024-03-01,0,0,0,0,WV,Columbus,7428 Sky Hwy,22,2,0,1,0,2,2025-08-09,2024-03-02,13,28,8,0,8355,14980,5563,0,0,9860.85,3804.47,4530.88,1525.5,CM98L0097,No,500,1000,183,1,526,0.19110938756606247
CC00000034,2022-04-01,21,53,151346457,1,2023-10-01,2024-04-01,100/300,500,1693.63,0,452456,0,4,craft-repair,kayaking,unmarried,0,-64000,No,2024-02-17,0,0,2,1,WV,Hillsdale,5640 Embaracadero Lane,10,3,2,1,3,0,2025-09-02,2024-02-19,10,2,9,1,8930,13688,4138,0,0,9166.85,8031.5,912.51,222.84,RT60R9974,No,100,300,183,2,563,0.3531785852804365
CC00000035,2022-07-01,18,45,142935401,1,2023-09-27,2024-03-27,250/500,1000,1254.18,0,457555,0,6,prof-specialty,kayaking,other-relative,0,-45100,No,2024-01-11,2,1,1,1,SC,Columbus,6012 Texas Hwy,16,1,2,0,1,2,2025-05-11,2024-01-15,13,20,2,2,2366,14246,2594,0,0,11424.11,6416.68,4291.83,715.6,OX35T4926,No,250,500,182,4,486,0.8235212583549801
CC00000036,2022-02-01,23,45,185742341,1,2023-10-02,2024-04-02,500/1000,1000,1362.29,0,442598,0,2,farming-fishing,yachting,unmarried,0,-51100,No,2024-02-27,0,0,1,0,NY,Northbend,4905 Francis Ave,18,3,0,0,0,0,2025-07-02,2024-03-01,10,3,6,0,5933,14093,4657,0,0,56863.38,50167.22,858.05,5838.11,TK74O1183,No,500,1000,183,3,491,3.452674336336783
CC00000037,2022-10-01,15,40,136753832,0,2023-10-01,2024-04-01,500/1000,2000,965.21,0,610354,0,3,exec-managerial,camping,other-relative,36900,-53700,No,2024-02-02,1,3,3,4,SC,Hillsdale,8404 Embaracadero St,10,1,1,2,1,1,2025-05-27,2024-02-07,9,35,4,4,4151,6849,6418,1,0,21870.53,554.54,13478.98,7837.01,KI74W3885,No,500,1000,183,5,480,0.050623458925837646
CC00000038,2022-04-01,21,27,197359502,1,2023-10-20,2024-04-20,100/300,1000,1384.51,0,476727,0,6,adm-clerical,reading,not-in-family,13100,-38200,No,2024-02-18,2,1,0,2,SC,Springfield,9484 Pine Drive,14,1,0,2,3,2,2026-02-25,2024-02-19,13,20,1,5,1257,8665,6434,0,0,933.52,60.6,136.71,736.21,MF58A2237,No,100,300,183,1,738,0.00981039707825006
CC00000039,2022-03-01,22,39,170739323,2,2023-10-10,2024-04-10,250/500,2000,1281.07,7000000,608371,0,2,protective-serv,board-games,unmarried,0,0,No,2024-01-18,1,3,3,3,NY,Springfield,4116 Embaracadero Lane,6,1,0,0,2,0,2025-12-18,2024-01-21,3,25,9,1,9604,17880,3775,0,0,9454.76,1857.93,1219.92,6376.91,LD24D0567,No,250,500,183,3,700,0.07438313320927671
CC00000040,2022-07-01,18,32,180523543,0,2023-09-22,2024-03-22,100/300,1000,1000.06,0,440961,0,6,farming-fishing,base-jumping,wife,0,0,No,2024-01-09,2,2,2,2,NY,Columbus,7121 Britain Drive,17,1,1,1,0,2,2025-05-31,2024-01-12,1,4,8,0,8594,8836,6804,0,0,6914.74,729.35,5458.61,726.78,KK48G7173,No,100,300,182,3,508,0.035481780651714714
CC00000041,2022-08-01,17,36,144155768,0,2023-09-13,2024-03-13,250/500,2000,870.63,0,431725,0,4,adm-clerical,kayaking,own-child,94800,-58500,No,2024-01-06,0,2,1,3,VA,Hillsdale,2299 1st St,12,3,0,1,1,0,2025-11-15,2024-01-09,5,13,5,5,5289,5666,3602,1,0,18902.21,8175.39,8330.33,2396.49,JL27R5170,No,250,500,182,3,679,0.6274677301257638
CC00000042,2022-09-01,16,42,133962793,0,2023-09-26,2024-03-26,500/1000,500,1848.81,0,435489,0,3,transport-moving,video-games,own-child,0,-49000,No,2024-02-06,0,0,0,1,WV,Northbend,2457 Washington Ave,20,3,2,2,2,1,2025-12-04,2024-02-06,11,21,2,0,2250,13807,5752,0,0,21906.42,11033.55,4690.56,6182.31,PJ63G3584,No,500,1000,182,0,667,1.4346893265111076
CC00000043,2022-07-01,18,36,120135138,0,2023-10-28,2024-04-28,500/1000,2000,1712.68,0,614233,0,0,handlers-cleaners,basketball,not-in-family,72200,0,No,2024-02-18,0,2,0,1,VA,Riverwood,4053 Sky Lane,17,3,1,2,0,1,2025-09-27,2024-02-21,1,4,0,2,977,10233,2268,0,0,5144.74,3816.91,905.82,422.01,KI44Y0514,No,500,1000,183,3,587,0.6718539875659196
CC00000044,2022-10-01,15,38,188065828,1,2023-09-05,2024-03-05,250/500,500,1394.43,0,606352,0,5,other-service,skydiving,not-in-family,0,0,No,2024-01-31,2,0,0,0,VA,Columbus,5071 Flute Ridge,7,1,1,0,1,1,2026-03-11,2024-02-05,9,26,6,4,6342,11761,6189,0,0,5643.3,3460.51,240.34,1942.45,QG37E3160,No,250,500,182,5,770,0.22895102294928824
CC00000045,2022-07-01,18,35,193626051,1,2023-09-19,2024-03-19,100/300,1000,1245.89,0,435481,0,5,exec-managerial,movies,wife,0,-40300,No,2024-01-01,2,1,2,2,WV,Springfield,6011 Britain St,19,1,0,0,0,2,2026-02-15,2024-01-02,8,7,5,5,4698,10578,7392,0,0,12975.0,1128.01,3318.87,8528.12,SV50Z7028,No,100,300,182,1,776,0.09205532084014424
CC00000046,2023-01-01,12,35,179521640,0,2023-08-28,2024-02-28,100/300,2000,1266.92,0,613982,0,5,sales,polo,own-child,0,0,No,2024-01-09,0,1,0,2,OH,Arlington,3418 Texas Lane,16,3,0,1,3,1,2026-01-08,2024-01-13,5,13,0,0,731,5047,7810,1,0,16893.73,13191.48,2094.2,1608.05,NL22A2946,No,100,300,184,4,730,2.37816730395842
CC00000047,2022-01-01,24,62,190327395,2,2023-08-22,2024-02-22,250/500,1000,1187.96,4000000,618845,0,3,other-service,bungie-jumping,own-child,0,0,No,2024-01-01,0,1,1,3,NY,Columbus,5380 Pine St,20,3,0,1,0,2,2025-12-16,2024-01-01,11,19,5,2,5235,10069,4890,0,0,15143.61,1122.98,4855.83,9164.8,IX14G4443,No,250,500,184,0,715,0.08657507379827725
CC00000048,2022-05-01,20,52,145849195,1,2023-10-30,2024-04-30,250/500,1000,1242.96,7000000,449800,0,2,other-service,paintball,own-child,0,-37100,No,2024-02-22,0,1,1,2,NY,Riverwood,5838 Pine Lane,2,2,2,2,0,2,2025-09-10,2024-02-27,0,31,4,1,4281,17722,4553,0,0,22875.09,20738.51,624.28,1512.3,PH09V9592,No,250,500,183,5,566,1.8194548262006278
CC00000049,2022-03-01,22,36,175250327,1,2023-10-03,2024-04-03,500/1000,500,1625.45,4000000,607452,0,4,other-service,video-games,other-relative,0,-53700,No,2024-01-23,2,0,0,0,NY,Northbrook,2100 MLK St,11,1,0,2,1,0,2025-04-24,2024-01-27,5,16,2,0,1923,5405,7152,1,0,13988.4,2139.57,6796.75,5052.08,HT22S6381,No,500,1000,183,4,457,0.2926780223027173
CC00000050,2022-10-01,15,37,191579764,1,2023-10-11,2024-04-11,100/300,2000,1337.28,8000000,610393,0,3,craft-repair,reading,husband,27500,0,No,2024-02-28,0,2,0,3,WV,Riverwood,9038 2nd Lane,10,3,0,2,2,2,2025-06-10,2024-03-03,5,14,0,5,1219,5515,7460,1,0,20075.22,4926.83,670.98,14477.41,QS51Q8216,No,100,300,183,4,468,0.8095097261176533
CC00000051,2022-08-01,17,33,116890698,2,2023-09-26,2024-03-26,100/300,500,1240.47,0,472573,0,0,other-service,polo,husband,35300,0,No,2024-02-18,0,1,2,1,NC,Northbend,7476 4th St,11,3,2,1,1,2,2025-08-19,2024-02-18,6,10,8,3,7306,17175,7849,0,0,18396.07,7014.67,10117.82,1263.58,PL09W2059,No,100,300,182,0,548,0.40178420051779046
CC00000052,2023-01-01,12,29,154616785,0,2023-10-27,2024-04-27,100/300,500,1203.24,0,600702,0,3,transport-moving,video-games,other-relative,62500,-66900,No,2024-02-05,3,3,1,3,NY,Columbus,1562 Britain St,9,1,1,2,0,2,2025-08-01,2024-02-06,6,6,6,5,5889,5213,6128,1,0,15045.4,12727.1,1888.35,429.95,LI98J6823,No,100,300,183,1,543,0.8821429660619873
CC00000053,2023-01-01,12,28,190192321,1,2023-08-28,2024-02-28,250/500,1000,1281.27,0,447442,0,6,tech-support,golf,not-in-family,68900,0,No,2024-01-07,0,1,1,1,SC,Springfield,7709 Rock Lane,9,3,0,0,3,2,2025-10-05,2024-01-07,2,37,4,2,8946,6327,7982,1,0,3880.43,448.77,1323.67,2107.99,AD81F4847,No,250,500,184,0,637,0.01968372352520106
CC00000054,2022-05-01,20,44,143146872,1,2023-09-27,2024-03-27,100/300,2000,1081.08,0,468104,0,3,priv-house-serv,reading,unmarried,36400,-28700,No,2024-02-14,2,0,1,2,SC,Springfield,1699 Oak Drive,14,1,2,0,2,2,2025-08-12,2024-02-19,12,18,8,5,8295,10449,2004,0,0,4516.5,374.08,692.1,3450.32,ZE95K3967,No,100,300,182,5,545,0.0189208327432375
CC00000055,2022-02-01,23,45,142935401,1,2023-09-27,2024-03-27,250/500,1000,1254.18,0,457555,0,6,prof-specialty,kayaking,other-relative,0,-45100,No,2024-01-11,2,1,1,1,SC,Columbus,6012 Texas Hwy,16,1,2,0,1,2,2025-05-11,2024-01-15,13,20,2,5,2131,13629,5820,0,0,13955.43,6452.53,5293.16,2209.74,YY64C2872,No,250,500,182,4,486,0.8527005472323206
CC00000056,2022-06-01,19,32,159331373,0,2023-11-02,2024-05-02,250/500,2000,1624.82,0,454656,0,6,exec-managerial,basketball,unmarried,65300,-65600,No,2024-02-09,2,2,1,0,WV,Northbend,4965 MLK Drive,16,1,1,1,1,2,2026-01-30,2024-02-10,2,0,0,1,751,13203,7531,0,0,23388.14,13110.36,9613.49,664.29,ZT36Q1587,No,250,500,182,1,721,2.3579317675369733
CC00000057,2022-05-01,20,39,169811488,1,2023-09-27,2024-03-27,250/500,2000,1470.06,0,431683,0,6,other-service,yachting,husband,56600,-45800,No,2024-01-07,2,0,2,0,WV,Riverwood,4296 Pine Hwy,22,1,2,0,1,0,2025-10-20,2024-01-10,10,2,1,4,1548,12772,4487,0,0,18171.15,9957.47,6342.2,1871.48,HV33T1953,No,250,500,182,3,652,1.5257684410529864
CC00000058,2022-02-01,23,28,126661316,2,2023-10-02,2024-04-02,500/1000,2000,1207.36,0,432896,0,2,handlers-cleaners,camping,own-child,0,-57000,No,2024-03-01,0,0,0,0,WV,Columbus,7428 Sky Hwy,22,2,0,1,0,2,2025-08-09,2024-03-02,13,28,8,2,8533,17360,6026,0,1,19465.94,6260.26,4623.1,8582.58,MF70L0307,No,500,1000,183,1,526,0.30712374855949737
CC00000059,2022-01-01,24,28,127416279,2,2023-11-01,2024-05-01,100/300,2000,1371.78,0,451560,0,3,farming-fishing,polo,other-relative,0,-32500,No,2024-02-04,0,0,0,2,PA,Riverwood,2539 Embaracadero Ridge,10,3,1,0,2,1,2025-10-22,2024-02-08,1,5,9,0,9144,8198,2647,0,0,24719.73,6524.43,6935.5,11259.8,LS57Y5184,No,100,300,182,4,626,0.27887923922790936
CC00000060,2023-01-01,12,28,133223123,0,2023-10-14,2024-04-14,250/500,2000,1587.96,0,601617,0,0,craft-repair,board-games,unmarried,0,-26900,No,2024-02-14,2,1,0,1,WV,Riverwood,8991 Embaracadero Ave,18,1,1,2,1,1,2025-07-30,2024-02-14,1,5,6,2,5969,10175,3647,0,0,19084.91,516.77,11409.81,7158.33,UF27K5433,No,250,500,183,0,532,0.035432093686577806
CC00000061,2022-09-01,16,37,142885999,2,2023-09-28,2024-03-28,250/500,500,1262.08,0,474615,0,3,tech-support,video-games,wife,48500,0,No,2024-01-08,2,0,0,0,NC,Columbus,3422 Flute St,4,1,1,0,3,0,2025-07-20,2024-01-08,9,29,5,1,4709,9569,4546,0,0,14604.16,2969.85,612.1,11022.21,QJ00O8536,No,250,500,182,0,559,0.242093653402199
CC00000062,2022-02-01,23,28,190192321,1,2023-08-28,2024-02-28,250/500,1000,1281.27,0,447442,0,6,tech-support,golf,not-in-family,68900,0,No,2024-01-07,0,1,1,1,SC,Springfield,7709 Rock Lane,9,3,0,0,3,2,2025-10-05,2024-01-07,2,37,4,0,8838,9723,3933,0,0,18894.18,1590.06,6989.29,10314.83,WU19I6570,No,250,500,184,0,637,0.07360615342739443
